homeid,awayid,probabilidade
77981,7885,0.9988263313136617
7885,36333,0.8044440688785637
36333,7885,0.9993580819811062
2402,7885,0.9989491531436216
7885,77981,0.854579032231688
7084,77981,0.9998547149137417
36333,77981,0.9993104578772126
77981,7084,0.8082185287009942
36891,23833,0.4768595493211342
23833,2402,0.9948456481924498
2402,23833,0.9998459778789223
7084,23833,0.995474523431234
23833,36891,0.41788393633128096
23833,2402,0.9998706467434275
36333,7084,0.46455770336098895
36891,7084,0.999198143400476
7084,36333,0.9999790697972483
2402,36891,0.994849688936909
36891,2402,0.994706639816026
37737,2424,0.9954740779665393
362744,2420,0.9998727258065514
162238,2420,0.9990984884589545
2424,2416,0.9999795473577475
2416,2413,0.9999960915572899
2418,2413,0.9958823676212106
162238,2418,0.9990488590507806
2829,2849,0.9999967166267453
2836,2829,0.8120236624079158
2829,2814,0.9998528799630437
2820,2829,0.9998766361557476
2833,2829,0.9999825152691205
2821,2829,0.9991116451580164
2826,2829,0.9992374407723144
2829,2859,0.9948885157188481
2829,2824,0.9999778267671999
2824,2836,0.9993316018946213
2836,2833,0.9953727596182285
2846,2836,0.9957251940110196
2825,2836,0.9945944458539316
2836,33779,0.3928937294960183
2826,2836,0.8468626078526471
2816,2836,0.9998480436799442
2836,2885,0.9999774454974952
2817,2819,0.9946179833564545
2819,2824,0.9993518678336666
2818,2819,0.9999952714584348
2819,2833,0.9955918405395296
2885,2819,0.9993105394581087
2819,2828,0.996109203869062
2859,2819,0.9993967763700287
2849,2819,0.9963743248771126
4488,2819,0.8418472775741803
2819,2825,0.9962657829759192
2819,2821,0.7995268322841256
2833,2825,0.7737542651653215
2817,2825,0.9998929472794102
2825,2821,0.9959743192649071
2825,2846,0.9992803958538484
2833,2826,0.44762152135955463
2833,4488,0.9967865877824854
2849,2833,0.9999784740023457
2818,2833,0.995028125192302
2885,2833,0.4630787176992605
2833,33779,0.9999964670384954
2833,2824,0.40729933603512486
2859,2817,0.4775251750706235
2816,2817,0.999160241012688
2817,2826,0.9992470836879851
2817,2818,0.8188522644197822
2824,2817,0.8236265636119933
2817,4488,0.8345725102431749
2820,2826,0.9951953504346365
2826,2818,0.9992280669833625
2826,33779,0.9999999053883065
2826,2885,0.9993085257515818
2846,2826,0.9991137460932474
2859,2826,0.7816968691845693
2814,2826,0.8164155844579339
2826,2824,0.9955257933443705
2818,2849,0.9999962019121229
2849,2885,0.9998885128338836
2849,2824,0.9993845056678728
2820,2849,0.999838455170471
2825,2849,0.9998726579762718
2849,2814,0.9953059740275112
33779,2814,0.46440484297753126
2816,33779,0.995320888981114
33779,2821,0.9958412243316103
33779,2846,0.8284309765430984
2828,2816,0.9992316113828018
2859,2816,0.4663709693387611
4488,2816,0.9991148736532875
2821,2816,0.4551582498184544
2816,2820,0.9999752439178612
2885,4488,0.7946990582984951
2824,4488,0.9994819834940628
4488,2818,0.9955686708680485
2846,2824,0.9991962938564755
2824,2814,0.8254772022960929
2824,2885,0.8633274473514385
2846,2859,0.9998773442202626
2859,2818,0.4348599762296938
2821,2859,0.9960998595021252
2814,2859,0.9959396934017661
2859,2828,0.4485596459170686
2828,2821,0.9959582715939277
2821,2846,0.7919660684159509
2814,2821,0.8341253825501401
2846,2820,0.9952186683597971
2814,2828,0.9956620623944556
2818,2828,0.9955193241890208
2828,2820,0.9990142548813685
2820,2885,0.7995972859707468
2885,2818,0.8533044701544991
2814,2818,0.8243649691060886
2814,2820,0.9952859515082705
2817,2820,0.999905771125046
2820,2819,0.7913325416364586
2453,2445,0.9998887625842402
2445,2442,0.9999763903169079
2452,2445,0.9992308475928827
2446,2445,0.9998966584962001
2445,2446,0.9998885096637088
2445,2453,0.9998171695881259
2452,2453,0.9998951210277982
2501,2453,0.9994496451256735
2442,2453,0.999976861661082
2453,2449,0.7858951000717436
2443,2450,0.9991311191728907
2442,2450,0.9987061412533171
2501,2450,0.994610459647419
2446,2450,0.9949499356152465
2450,2449,0.9959121111379841
2450,2442,0.99921502533685
2449,2442,0.9999785081636008
2448,2442,0.9968804130530026
2442,2443,0.9992394706543759
2452,2442,0.9992856671934812
2448,2501,0.39869145616752716
2446,2501,0.3940837120741433
2452,2501,0.4362205243540918
2449,2501,0.9999953751635514
2443,2501,0.9951580239289332
2448,2443,0.9998004094858327
2443,2449,0.9961945778699034
2446,2443,0.9999853183922923
2443,2452,0.9998427850098538
2443,2446,0.9998788912006887
2449,2446,0.9998554182352911
2452,2448,0.9999973565897303
2446,2452,0.9992104342687989
2448,2452,0.9990031958659633
2446,2448,0.9999807322057872
